address,description,info,overview
"{'street_name': 'Kruisstraat 19', 'postal_code': '3560', 'town_name': 'Lummen'}","This beautiful, well-established restaurant, which has been in operation since 1972, is situated on approximately 2 hectares of land adjacent to a stunning nature reserve in Tessenderlo. The farmhouse is completely surrounded by meadows and greenery, with many walking and cycling routes passing by the restaurant. The restaurant has three versatile rooms, each available separately. It can accommodate a total of 302 guests, inside and outside combined. The property itself was stylishly renovated in 2012 and includes an extensive kitchen, living room, office space, three bedrooms, dressing room, and two bathrooms. The property offers many possibilities, including the option to convert it into a private residence or B&B. Features: - Possibility of B&B - Fully renovated in 2012 - Ready for immediate use as a restaurant, with all necessary equipment included - Beautiful, peaceful environment with many tourist attractions.","{'Building condition': 'Good', 'Number of frontages': '4', 'Surroundings type': 'Countryside', 'Virtual visit': 'Link to the virtual visit', 'Living room': 'Yes', 'Bedrooms': '5', 'Dressing room': 'No', 'Bathrooms': '3', 'Toilets': '4', 'Armored door': 'No', 'Surface of the plot': '32737 m²\nsquare meters', 'Land is facing street': 'No', 'Wooded land': 'No', 'Plot at rear': 'Yes', 'Flat land': 'Yes', 'Connection to sewer network': 'Connected', 'Gas, water & electricity': 'Yes', 'Garden surface': '32287 m²\nsquare meters', 'Primary energy consumption': 'Not specified', 'Energy class': 'B', 'Reference number of the EPC report': '20221003-0002682211-RES-2', 'CO₂ emission': 'Not specified', 'Yearly theoretical total energy consumption': 'Not specified', 'Heating type': 'Fuel oil', 'Photovoltaic solar panels': 'No', 'Thermic solar panels': 'No', 'Common water heater': 'No', 'Double glazing': 'Yes', 'Type of building': 'All kind', 'Obligation to build': 'No', 'Subdivision permit': 'No', 'Possible priority purchase right': 'No', 'Proceedings for breach of planning regulations': 'No', 'Flood zone type': 'Non flood zone', 'Latest land use designation': 'Farming area', 'Cadastral income': '€ 2,325\n2325 €', 'Tenement building': 'No', 'Address': 'Thonissenlaan 82\n3500 - Hasselt', 'Website': 'http://www.hillewaere.be', 'External reference': '10/1465'}",5 bedrooms
"{'street_name': 'Goor 12', 'postal_code': '3980', 'town_name': 'Tessenderlo'}","Deze authentieke te renoveren brouwerij uit 1878 te Kerkom-bij-Sint-Truiden ligt op een unieke locatie langs de wandel- en fietsroutes in Haspengouw. Ook het centrum van Sint-Truiden is niet ver. De vierkantshoeve bestaat uit goed draaidende horecazaak met feestzaal, brouwerij de Bink dewelke terug opgestart zal worden tegen het einde van 2023 en een woongedeelte. Recent is er een nieuwe opslagruimte bijgebouwd en zijn de daken vernieuwd, enkel het plat dak is niet voldoende geïsoleerd. Ook is het oorspronkelijk cafeetje nog aanwezig maar dit heeft een degelijke opfrisbeurt nodig. Verder beschikt deze brouwerij over verschillende ruimtes om vergaderzalen te maken, een overdekt terras, een horecakeuken en een binnenkoer dewelke je kan bereiken via de grote toegangspoort aan de rechterzijde. Ook is het pand geschikt om een B&B te maken. In het woonhuis bevinden zich op het gelijkvloers een keuken, ruime woonkamer, een eetkamer en een gastentoilet. Boven heeft men 5 slaapkamers en een badkamer. Deze hoeve staat op een perceel van ca. 1 Ha. en biedt tal van mogelijkheden! Mits grondige renovatiewerken kan je deze vierkantshoeve omtoveren tot een pareltje.","{'Construction year': '1922', 'Building condition': 'Good', 'Street frontage width': '44.67 m', 'Number of frontages': '4', 'Surroundings type': 'Fitted out', 'Virtual visit': 'Link to the virtual visit', 'Living room': 'Yes', 'Bedrooms': '3', 'Dressing room': 'No', 'Bathrooms': '3', 'Toilets': '2', 'Armored door': 'Yes', 'Land is facing street': 'No', 'Wooded land': 'No', 'Plot at rear': 'No', 'Flat land': 'Yes', 'Connection to sewer network': 'Connected', 'Gas, water & electricity': 'Yes', 'Primary energy consumption': 'Not specified', 'Energy class': 'C', 'Reference number of the EPC report': '20220812-0002654862-KNR-1', 'CO₂ emission': 'Not specified', 'Yearly theoretical total energy consumption': 'Not specified', 'Double glazing': 'Yes', 'Planning permission obtained': 'Yes', 'Type of building': 'All kind', 'Obligation to build': 'No', 'Subdivision permit': 'No', 'Possible priority purchase right': 'Yes', 'Proceedings for breach of planning regulations': 'No', 'Flood zone type': 'Non flood zone', 'Latest land use designation': 'Natural area', 'Tenement building': 'No', 'Address': 'Graaf De Broquevillestraat 35\n2400 - Mol', 'Website': 'http://www.hillewaere.be', 'External reference': '07/2413'}",3 bedrooms
"{'street_name': 'Naamsesteenweg 469', 'postal_code': '3800', 'town_name': 'Sint-Truiden'}","Sorry, there is no English translation. Uitzonderlijk vastgoed te koop! Recent volledig gerenoveerde molen met woonst en handelsgedeelte. BESCHRIJVING: De Molen van Rotem is een watermolen op de Velpe, een zijrivier van de Demer. De molen is ideaal gelegen: vlakbij het museum van de Slag der Zilveren Helmen, rustig in het groen. Dit is de ideale stopplaats voor de talloze fietsers en wandelaars. De Molen werd in 2005 beschermd als monument samen met de onmiddellijke omgeving. In 2016 werd de Rotemse molen volledig gerenoveerd. Deze unieke eigendom verspreidt zich over meerdere percelen met in totaal een oppervlakte van 3ha 58a 23ca. Door de ligging aan de Velpe kan u in uw eigen tuin heerlijk genieten van een kronkelende waterloop met een diversiteit aan fauna en flora, klinkt dat niet zalig? De rustige en groene omgeving zijn echt een grote troef voor de ligging van het pand. Het woongedeelte heeft een klassieke maar luxueuze uitstraling en is direct bewoonbaar. Verder is er mogelijkheid voor bijvoorbeeld een horecazaak. Indeling: Gelijkvloers: Eetkamer, inkomhal met trap, zithoek (mogelijk slaapkamer), keuken in landelijke stijl, woonkamer, traphal, polyvalente ruimte voor bijvoorbeeld horeca met aansluitend het ruime terras, toiletruimte, molen; Verdieping: Slaapkamer 1, Slaapkamer 2, badkamer met bad, douche, lavabo en toilet; Torenkamer: eventueel extra slaapkamer. Belangrijke weetjes: Geen renovatieverplichting - EPC label D / Geen asbestmaterialen aanwezig","{'Available as of': 'After signing the deed', 'Available date': 'November 22 2023 - 12:00 AM', 'Construction year': '1778', 'Number of floors': '2', 'Building condition': 'To be done up', 'Street frontage width': '31 m', 'Number of frontages': '4', 'Covered parking spaces': '2', 'Outdoor parking spaces': '40', 'Living area': '200 m²\nsquare meters', 'Living room': 'Yes', 'Kitchen type': 'USA hyper equipped', 'Bedrooms': '5', 'Bathrooms': '1', 'Shower rooms': '1', 'Toilets': '6', 'Surface of the plot': '9942 m²\nsquare meters', 'Width of the lot on the street': '82 m\nmeters', 'Gas, water & electricity': 'Yes', 'Garden surface': '9942 m²\nsquare meters', 'Terrace surface': '200 m²\nsquare meters', 'Primary energy consumption': '516 kWh/m²\nkilowatt hour per square meters', 'Energy class': 'F', 'Reference number of the EPC report': '20230401-0002848724-RES-1', 'CO₂ emission': 'Not specified', 'Yearly theoretical total energy consumption': 'Not specified', 'Heating type': 'Gas', 'Planning permission obtained': 'Yes', 'Subdivision permit': 'No', 'Possible priority purchase right': 'Yes', 'Latest land use designation': 'Living area (residential, urban or rural)', 'Cadastral income': '€ 1,747\n1747 €', 'Tenement building': 'No', 'Address': 'Kolonel Dusartplein 28B\n3500 - Hasselt', 'Website': 'http://www.living-stone.be', 'External reference': '5617968'}",5 bedrooms
"{'street_name': 'Gidsenstraat 24', 'postal_code': '3545', 'town_name': 'HALEN'}","This property is located in Diepenbeek, which is centrally located between the cities of Hasselt, Genk, Bilzen and Kortessem and is easily accessible via the E313. The property includes a house, 2 apartments, an indoor and outdoor arena, a covered arena (tent), 60 horse stables, a lunging circle, a horse walker and fenced meadows. The apartment is located on the second floor and includes a spacious living room with kitchen, 2 bedrooms, a dressing room and a bathroom. On the ground floor there is an entrance hall. The apartments are divided between the lower and upper floors. Downstairs there is a first apartment with 5 bedrooms, a bathroom and a common living room/kitchen. On the second floor is a 2nd apartment with a bedroom and abathroom. These are ideally equipped for hosting guests or as grooms quarters. The horse accommodation consists of 2 drained outdoor arenas of 20m x 60m and 50m x 80m. The indoor arena with adjoining canteen measures 20m x 40m. There is also a second covered arena (tent) measuring 25m x 45m. There are 60 horse stables with various washing areas on the premises, which are located around the indoor arena. This professional accommodation is ideally equipped for organizing equestrian events in all disciplines.","{'Available as of': 'After signing the deed', 'Construction year': '1920', 'Building condition': 'Good', 'Number of frontages': '4', 'Kitchen type': 'Installed', 'Bedrooms': '4', 'Surface of the plot': '35823 m²\nsquare meters', 'Gas, water & electricity': 'Yes', 'Primary energy consumption': '358 kWh/m²\nkilowatt hour per square meters', 'Energy class': 'D', 'Reference number of the EPC report': '20230713-0002942459-RES-1', 'CO₂ emission': 'Not specified', 'Yearly theoretical total energy consumption': 'Not specified', 'As built plan': 'No', 'Conformity certification for fuel tanks': 'Yes, conform', 'Heating type': 'Fuel oil', 'Double glazing': 'Yes', 'Planning permission obtained': 'Yes', 'Possible priority purchase right': 'No', 'P-score': 'D', 'G-score': 'D', 'Latest land use designation': 'Area of landscape interest', 'Cadastral income': '€ 1,257\n1257 €', 'Tenement building': 'Yes', 'Address': 'Grote Baan 86A\n3540 - Herk-de-Stad', 'External reference': '332 - 1548'}",4 bedrooms
"{'street_name': 'Wildlaan 10', 'postal_code': '3910', 'town_name': 'Pelt'}",Renovation obligation: unknown,"{'Available as of': 'After signing the deed', 'Construction year': '1992', 'Number of floors': '2', 'Building condition': 'As new', 'Street frontage width': '50 m', 'Number of frontages': '4', 'Covered parking spaces': '2', 'Outdoor parking spaces': '15', 'Surroundings type': 'Living area (residential, urban or rural)', 'Living area': '865 m²\nsquare meters', 'Living room': 'Yes', 'Kitchen type': 'Hyper equipped', 'Bedrooms': '5', 'Bathrooms': '4', 'Shower rooms': '4', 'Toilets': '5', 'Office': 'Yes', 'Attic': 'Yes', 'Furnished': 'No', 'Surface of the plot': '9212 m²\nsquare meters', 'Width of the lot on the street': '100 m\nmeters', 'Connection to sewer network': 'Connected', 'Gas, water & electricity': 'Yes', 'Garden surface': '8300 m²\nsquare meters', 'Terrace surface': '250 m²\nsquare meters', 'Primary energy consumption': '164 kWh/m²\nkilowatt hour per square meters', 'Energy class': 'B', 'Reference number of the EPC report': '20231122-0002660806-RES-4', 'CO₂ emission': 'Not specified', 'Yearly theoretical total energy consumption': 'Not specified', 'As built plan': 'Yes, conform', 'Heating type': 'Gas', 'Thermic solar panels': 'Yes', 'Planning permission obtained': 'Yes', 'Total ground floor buildable': '750 m²\nsquare meters', 'Subdivision permit': 'Yes', 'Possible priority purchase right': 'No', 'Proceedings for breach of planning regulations': 'No', 'Latest land use designation': 'Park area', 'Cadastral income': '€ 5,495\n5495 €', 'Tenement building': 'No', 'Address': 'Noord-Brabantlaan 3\n2300 - Turnhout', 'Website': 'http://www.home-id.be', 'External reference': '5839968'}",5 bedrooms
"{'street_name': 'Ask for the exact address', 'postal_code': '3590', 'town_name': 'Diepenbeek'}","Luxurious villa with 4 bedrooms, swimming pool, 2 saunas and fitness basement in Opitter. The property includes a plot of 15 acres 28 ca and the associated building plot of 76 acres 88 ca. This magnificent villa dates from 2004 and is equipped with all amenities. From the living room and kitchen, you have a beautiful view over the garden with swimming pool. Ground floor: Spacious entrance hall with cloakroom and office. Very bright living room and dining room with a large window and beautiful view of the garden. Next to this, there is a fully equipped kitchen. Next to the kitchen, there is a practical storage room. Behind the living room, there is an extra TV room. The house has a double garage with a sectional door. First floor: On the first floor, you can access the 4 spacious bedrooms from the night hall, each with access to one of the 3 bathrooms. The largest bathroom has a sauna. One bedroom has a dressing room with built-in wardrobes. On this floor, there is also an extra room with built-in wardrobes. The night hall overlooks the underlying dining area. Basement: The house is partially basemented and equipped with, among other things, a fitness room, music room, .. Garden: Completely fenced south-west facing garden with electric entrance gate. Swimming pool with pool house, sauna, and paved play area. The central location of the villa is one of the many advantages. In the vicinity, we find cozy brasseries, a beautiful park for walking, various shops, but also spor","{'Kitchen type': 'Semi equipped', 'Bedrooms': '8', 'Surface of the plot': '65000 m²\nsquare meters', 'Gas, water & electricity': 'No', 'Primary energy consumption': 'Not specified', 'Energy class': 'Not specified', 'Reference number of the EPC report': 'Not specified', 'CO₂ emission': 'Not specified', 'Yearly theoretical total energy consumption': 'Not specified', 'As built plan': 'No', 'Subdivision permit': 'No', 'Possible priority purchase right': 'No', 'Proceedings for breach of planning regulations': 'No', 'Flood zone type': 'Non flood zone', 'Latest land use designation': 'Farming area', 'Tenement building': 'No', 'Address': 'Sint-Laurentuisstraat 50D\n9130 - Verrebroek', 'External reference': '4016 - 3992'}",8 bedrooms
"{'street_name': 'Peetersstraat 5              Box 001', 'postal_code': '3800', 'town_name': 'Sint-Truiden'}",,"{'Construction year': '1850', 'Number of floors': '3', 'Building condition': 'Good', 'Number of frontages': '4', 'Covered parking spaces': '1', 'Outdoor parking spaces': '2', 'Surroundings type': 'Countryside', 'Living area': '527 m²\nsquare meters', 'Living room surface': '74 m²\nsquare meters', 'Dining room': 'Yes', 'Kitchen surface': '37 m²\nsquare meters', 'Bedrooms': '4', 'Bedroom 1 surface': '26 m²\nsquare meters', 'Bedroom 2 surface': '19 m²\nsquare meters', 'Bedroom 3 surface': '16 m²\nsquare meters', 'Bedroom 4 surface': '12 m²\nsquare meters', 'Dressing room': 'No', 'Bathrooms': '4', 'Toilets': '5', 'Armored door': 'Yes', 'Surface of the plot': '5772 m²\nsquare meters', 'Land is facing street': 'No', 'Wooded land': 'No', 'Plot at rear': 'No', 'Flat land': 'Yes', 'Connection to sewer network': 'Connected', 'Gas, water & electricity': 'Yes', 'Terrace surface': '200 m²\nsquare meters', 'Primary energy consumption': '142 kWh/m²\nkilowatt hour per square meters', 'Energy class': 'B', 'Reference number of the EPC report': '20210910-0002460540-RES-3', 'CO₂ emission': 'Not specified', 'Yearly theoretical total energy consumption': 'Not specified', 'Heating type': 'Fuel oil', 'Photovoltaic solar panels': 'Yes', 'Thermic solar panels': 'No', 'Common water heater': 'No', 'Double glazing': 'Yes', 'Type of building': 'All kind', 'Obligation to build': 'No', 'Subdivision permit': 'No', 'Possible priority purchase right': 'No', 'Proceedings for breach of planning regulations': 'No', 'Latest land use designation': 'Another type of area', 'Cadastral income': '€ 2,460\n2460 €', 'Tenement building': 'No', 'Address': 'Hoogstraat 8\n3580 - Beringen', 'Website': 'http://www.swevers.be', 'External reference': 'B0527'}",4 bedrooms
"{'street_name': 'De Vaart 24 26', 'postal_code': '3910', 'town_name': 'Pelt'}",,"{'Construction year': '1919', 'Building condition': 'Good', 'Street frontage width': '14 m', 'Number of frontages': '4', 'Covered parking spaces': '2', 'Outdoor parking spaces': '10', 'Surroundings type': 'Fitted out', 'Virtual visit': 'Link to the virtual visit', 'Living area': '631 m²\nsquare meters', 'Living room': 'Yes', 'Bedrooms': '8', 'Dressing room': 'No', 'Bathrooms': '3', 'Armored door': 'Yes', 'Surface of the plot': '4930 m²\nsquare meters', 'Land is facing street': 'No', 'Wooded land': 'No', 'Plot at rear': 'Yes', 'Flat land': 'Yes', 'Width of the lot on the street': '25 m\nmeters', 'Connection to sewer network': 'Connected', 'Gas, water & electricity': 'Yes', 'Primary energy consumption': '286 kWh/m²\nkilowatt hour per square meters', 'Energy class': 'C', 'Reference number of the EPC report': '20220516-0002604794-RES-1', 'CO₂ emission': 'Not specified', 'Yearly theoretical total energy consumption': 'Not specified', 'Heating type': 'Gas', 'Photovoltaic solar panels': 'No', 'Thermic solar panels': 'No', 'Common water heater': 'No', 'Double glazing': 'Yes', 'Planning permission obtained': 'Yes', 'Type of building': 'All kind', 'Obligation to build': 'No', 'Subdivision permit': 'No', 'Possible priority purchase right': 'No', 'Proceedings for breach of planning regulations': 'No', 'Flood zone type': 'Non flood zone', 'Latest land use designation': 'Living area (residential, urban or rural)', 'Cadastral income': '€ 3,085\n3085 €', 'Tenement building': 'No', 'Address': 'Graaf De Broquevillestraat 35\n2400 - Mol', 'Website': 'http://www.hillewaere.be', 'External reference': '07/2731'}",8 bedrooms
"{'street_name': 'Leopold III-straat 78', 'postal_code': '3720', 'town_name': 'Kortessem'}",,"{'Construction year': '2007', 'Living area': '930 m²\nsquare meters', 'Surface of the plot': '2313 m²\nsquare meters', 'Connection to sewer network': 'Connected', 'Primary energy consumption': '107 kWh/m²\nkilowatt hour per square meters', 'Energy class': 'B', 'Reference number of the EPC report': '20220920-0001777241-RES-2', 'CO₂ emission': 'Not specified', 'Yearly theoretical total energy consumption': 'Not specified', 'As built plan': 'No', 'Heating type': 'Fuel oil', 'Heat pump': 'No', 'Photovoltaic solar panels': 'No', 'Thermic solar panels': 'No', 'Double glazing': 'Yes', 'Obligation to build': 'No', 'Subdivision permit': 'Yes', 'Possible priority purchase right': 'No', 'Proceedings for breach of planning regulations': 'No', 'Flood zone type': 'Possible flood zone', 'Cadastral income': '€ 3,449\n3449 €', 'Tenement building': 'Yes', 'Address': 'Havermarkt 22\n3500 - Hasselt', 'Website': 'http://www.vestio.com', 'External reference': 'VKTK1383-LH--DL-X - Immoweb'}","930
                                            
                                                    m²                                                 
                                                    square meters                                                

                                            livable space"
"{'street_name': 'Ask for the exact address', 'postal_code': '3960', 'town_name': 'Bree'}",,"{'Construction year': '2004', 'Building condition': 'Good', 'Number of frontages': '4', 'Living area': '495 m²\nsquare meters', 'Living room': 'Yes', 'Bedrooms': '4', 'Dressing room': 'No', 'Bathrooms': '3', 'Armored door': 'No', 'Surface of the plot': '9216 m²\nsquare meters', 'Land is facing street': 'No', 'Wooded land': 'No', 'Plot at rear': 'Yes', 'Flat land': 'Yes', 'Connection to sewer network': 'Connected', 'Gas, water & electricity': 'No', 'Primary energy consumption': '219 kWh/m²\nkilowatt hour per square meters', 'Energy class': 'C', 'Reference number of the EPC report': '2606425', 'CO₂ emission': 'Not specified', 'Yearly theoretical total energy consumption': 'Not specified', 'Heating type': 'Fuel oil', 'Photovoltaic solar panels': 'No', 'Thermic solar panels': 'No', 'Common water heater': 'No', 'Double glazing': 'Yes', 'Planning permission obtained': 'Yes', 'Type of building': 'All kind', 'Obligation to build': 'No', 'Subdivision permit': 'No', 'Possible priority purchase right': 'No', 'Proceedings for breach of planning regulations': 'No', 'Flood zone type': 'Non flood zone', 'Latest land use designation': 'Living area (residential, urban or rural)', 'Tenement building': 'No', 'Address': 'Aarschotsesteenweg 201\n2500 - Lier', 'External reference': 'IF-3864'}",4 bedrooms
address,description,info,overview
"{'street_name': 'Willekensmolenstraat 20', 'postal_code': '3500', 'town_name': 'Hasselt'}",Renovation obligation: yes,"{'Number of floors': '3', 'Primary energy consumption': 'Not specified', 'Energy class': 'Not specified', 'Reference number of the EPC report': 'Not specified', 'CO₂ emission': 'Not specified', 'Yearly theoretical total energy consumption': 'Not specified', 'Heat pump': 'No', 'Photovoltaic solar panels': 'No', 'Thermic solar panels': 'No', 'Obligation to build': 'No', 'Subdivision permit': 'No', 'Possible priority purchase right': 'No', 'Proceedings for breach of planning regulations': 'No', 'Flood zone type': 'Non flood zone', 'Tenement building': 'Yes', 'Address': 'Steenweg 194\n3570 - Alken', 'Website': 'http://www.vestra.be', 'External reference': 'spir75'}",13 bedrooms
"{'street_name': 'Engelbamp 57', 'postal_code': '3800', 'town_name': 'Sint-Truiden'}","This qualitative farmhouse is very peacefully located in a unique spot in Heusden-Zolder on a plot of approximately 1 hectare. It includes, among other things, 8 horse stables, an outdoor arena, a tack room, and storage spaces. The house is very spacious, allowing for multiple bedrooms. The house includes: - A large office space - An entrance hall with a separate toilet - A kitchen with a kitchen island and a dining area - A large living room - Two spacious bedrooms, one with a dressing room (multiple bedrooms possible) - A bathroom with a bathtub - A bathroom with a shower - A toilet - A laundry room - A double garage - A cellar - An attic The property includes: - A cozy terrace - A grooming salon - A beautiful tack room - A laundry room - 8 horse stables - A separate toilet - A carport - Ample storage space - 5 fenced paddocks - An outdoor arena (25m x 50m) with lighting You can step right into the most blissful and unspoiled nature. The forests of Terlaemen and the Kluis, the breathtaking Wijers, and the beautiful Bovy estate provide peace and relaxation close to home. Ideal for hours of exploration with your horse. The local elementary school, the scouts, tennis, soccer, the sports hall, and more are all within a 2-kilometer radius of your home. The E314 is just two minutes away, and the E313 is also easily accessible. Hasselt is only a 15-minute drive. Interested? Contact Carina at carina@immofluisteraar.be or 0479 75 82 58.","{'Building condition': 'Good', 'Number of frontages': '4', 'Surroundings type': 'Fitted out', 'Living room': 'Yes', 'Bedrooms': '13', 'Dressing room': 'No', 'Bathrooms': '8', 'Toilets': '9', 'Armored door': 'No', 'Land is facing street': 'No', 'Wooded land': 'No', 'Plot at rear': 'Yes', 'Flat land': 'Yes', 'Connection to sewer network': 'Connected', 'Gas, water & electricity': 'Yes', 'Primary energy consumption': '512 kWh/m²\nkilowatt hour per square meters', 'Energy class': 'E', 'Reference number of the EPC report': 'uc1501543', 'CO₂ emission': 'Not specified', 'Yearly theoretical total energy consumption': 'Not specified', 'Double glazing': 'Yes', 'Planning permission obtained': 'Yes', 'Type of building': 'All kind', 'Obligation to build': 'No', 'Subdivision permit': 'No', 'Possible priority purchase right': 'No', 'Proceedings for breach of planning regulations': 'No', 'Flood zone type': 'Non flood zone', 'Latest land use designation': 'Another type of area', 'Tenement building': 'No', 'Address': 'Broekhofstraat, 1\n3650 - Lanklaar', 'Website': 'http://www.lumaro.be', 'External reference': '8135'}",3 bedrooms
"{'street_name': 'Ask for the exact address', 'postal_code': '3550', 'town_name': 'Heusden-Zolder'}","Lovers of calm and nature, a bucolic meeting awaits you at the turn. Nestled in a domain of +/- 5,68 hectares, these stables (to be renovated) will not leave you indifferent... Its location is more than ideal as you will enjoy a magical and authentic setting while being close to the motorways (E314 and E313). Enjoy a house of +/- 300 m2 of character (facade listed in the heritage register). This house needs to be completely renovated inside to exploit its full potential! Access to the first stable divided into 2 corridors with 20 boxes. The second stable will not fail to seduce you as it is an old mill and its watercourse still in use today. Its facade is also listed in the heritage register. Inside, there are 8 boxes, a large tack room and a grooming room. At the rear of the former mill there are 6 outdoor boxes. Following the path, a magnificent and large cafeteria with its wooden bar will be there to welcome you and your customers to enjoy the superb views of the large outdoor arena and the indoor arena! Passing along the track and the cafeteria, your horses will enjoy the pleasant meadows! As well as a former galloping oval which can be redeveloped as such or simply used as a meadow of +/- 2.24 hectares. - Manure and operating permits in order - Partially re-roofed. More info on our website ;)","{'Number of frontages': '4', 'Virtual visit': 'Link to the virtual visit', 'Living area': '394 m²\nsquare meters', 'Living room': 'Yes', 'Bedrooms': '3', 'Dressing room': 'No', 'Bathrooms': '2', 'Armored door': 'No', 'Surface of the plot': '10000 m²\nsquare meters', 'Land is facing street': 'No', 'Wooded land': 'No', 'Plot at rear': 'Yes', 'Flat land': 'Yes', 'Connection to sewer network': 'Connected', 'Gas, water & electricity': 'No', 'Primary energy consumption': '115 kWh/m²\nkilowatt hour per square meters', 'Energy class': 'B', 'Reference number of the EPC report': '2962884', 'CO₂ emission': 'Not specified', 'Yearly theoretical total energy consumption': 'Not specified', 'Double glazing': 'No', 'Planning permission obtained': 'Yes', 'Type of building': 'All kind', 'Obligation to build': 'No', 'Subdivision permit': 'No', 'Possible priority purchase right': 'No', 'Proceedings for breach of planning regulations': 'No', 'Flood zone type': 'Non flood zone', 'Latest land use designation': 'Farming area', 'Tenement building': 'No', 'Address': 'Aarschotsesteenweg 201\n2500 - Lier', 'External reference': 'IF-4161'}",2 bedrooms
"{'street_name': 'Obbeekstraat 22', 'postal_code': '3550', 'town_name': 'Heusden-Zolder'}","Exclusively for sale with Immo Brown: Outstanding newly built villa for sale, located in an extremely quiet location in second line on a beautiful plot of 2,337m² with perfect south orientation and complete privacy in a small alley, giving out on one of the most beautiful avenues of the Zoute between the Royal Zoute Golf Club and the Dominican Church. Layout: Entrance hall with cloakroom and guest toilet. Spacious and bright living room with gas fireplace, opening onto a covered terrace. Separate TV room. Magnificent dining room with adjoining beautiful kitchen, both with pleasant views and opening onto the terrace and garden. Separate, practical pantry and separate stairwell to the basement. Pool house with shower and toilet. A second, covered terrace with integrated barbecue. Beautiful landscaped garden designed by Dominique Eeman, equipped with a heated swimming pool as well as a pleasant, sun-filled terrace. On the first floor you will find the beautiful master bedroom with walk-in dressing room and ensuite bathroom equipped with all modern comforts (double sink, bathtub, walk-in shower, separate toilet). In addition, 4 spacious bedrooms, each with its own bathroom (washbasin, walk-in shower, toilet). All 5 bedrooms open onto a terrace and offer nice garden views. State of the art technical room. The first floor as well as the basement can be accessed via the stairwell and/or a passenger lift (-1 to +1) in the entrance hall. The basement comprises a fitness room, a sa","{'Available as of': 'After signing the deed', 'Construction year': '1918', 'Building condition': 'As new', 'Number of frontages': '4', 'Covered parking spaces': '2', 'Outdoor parking spaces': '8', 'Surroundings type': 'Countryside', 'Virtual visit': 'Link to the virtual visit', 'Living area': '389 m²\nsquare meters', 'Living room surface': '65 m²\nsquare meters', 'Kitchen type': 'Hyper equipped', 'Kitchen surface': '37 m²\nsquare meters', 'Bedrooms': '2', 'Bedroom 1 surface': '79 m²\nsquare meters', 'Bedroom 2 surface': '65 m²\nsquare meters', 'Bathrooms': '2', 'Toilets': '3', 'Office surface': '31 m²\nsquare meters', 'Office': 'Yes', 'Basement': 'Yes', 'Attic': 'Yes', 'Surface of the plot': '10149 m²\nsquare meters', 'Connection to sewer network': 'Connected', 'Terrace': 'Yes', 'Primary energy consumption': '115 kWh/m²\nkilowatt hour per square meters', 'Energy class': 'B', 'Reference number of the EPC report': '20230811-0002962884-RES-1', 'CO₂ emission': 'Not specified', 'Yearly theoretical total energy consumption': 'Not specified', 'E-level (overall energy performance)': '115', 'Thermic solar panels': 'Yes', 'Total ground floor buildable': '339 m²\nsquare meters', 'Possible priority purchase right': 'No', 'Proceedings for breach of planning regulations': 'No', 'Cadastral income': '€ 666\n666 €', 'Tenement building': 'No', 'Address': 'Schootstraat 254\n3550 - Heusden-Zolder', 'Website': 'http://www.immofusion.be', 'External reference': '5607701'}",3 bedrooms
"{'street_name': 'Molenveld 1', 'postal_code': '3550', 'town_name': 'Heusden-Zolder'}",Renovation obligation: no,"{'Available as of': 'After signing the deed', 'Number of floors': '1', 'Building condition': 'To renovate', 'Number of frontages': '4', 'Outdoor parking spaces': '10', 'Virtual visit': 'Link to the virtual visit', 'Living area': '300 m²\nsquare meters', 'Bedrooms': '3', 'Bathrooms': '1', 'Shower rooms': '1', 'Toilets': '1', 'Attic': 'Yes', 'Furnished': 'No', 'Surface of the plot': '56841 m²\nsquare meters', 'Gas, water & electricity': 'Yes', 'Primary energy consumption': '960 kWh/m²\nkilowatt hour per square meters', 'Energy class': 'F', 'Reference number of the EPC report': '20220531-0002613633-RES-1', 'CO₂ emission': 'Not specified', 'Yearly theoretical total energy consumption': 'Not specified', 'Double glazing': 'Yes', 'Tenement building': 'No', 'Address': 'Avenue Louise 251 (6ième étage)\n1000 - Bruxelles', 'Website': 'http://www.real-lab.com', 'External reference': '5263811'}",3 bedrooms
